,Unnamed: 0,Unnamed: 0.1,playerId,teamId,role,name,team,eliminations_avg_per_10m,deaths_avg_per_10m,hero_damage_avg_per_10m,healing_avg_per_10m,ultimates_earned_avg_per_10m,final_blows_avg_per_10m,time_played_total,total_elims,total_deaths,total_hero_damage,total_healing,total_ultimates,total_final_blows
63,63,63,8723,7699,maindps,Happy,GZC,16.9880153,4.357315613,8810.598109999999,1512.837264,4.357315613,6.287771897000001,10878.25721,307.9999998680255,78.99999997227137,159739.92069086642,27428.38812444112,78.99999997227137,113.99999995562605
64,64,64,4671,7699,offtank,HOTBA,GZC,17.9256655,3.254197736,6702.361844,4.005309648,3.088730055,5.791368853,10878.25721,324.99999994903874,58.999999974012795,121516.69342253648,72.61798092773093,55.99999998424575,104.99999996819446
65,65,65,4645,4406,flexdps,Hydration,GLA,15.440957699999998,5.581697546,5700.475864,9105.002129,5.320870558,3.129923857,11501.87725,296.0000001464038,107.00000003453036,109276.95609052615,174541.02808124444,102.000000035425,60.00000000843425
66,66,66,8782,7697,mainsupport,Hyeonu,WAS,6.677800952999999,6.260438392999999,3572.63484,7475.306214,3.756263036,0.834725119,1437.599004,15.999999998238415,14.999999997300266,8560.027146066166,17910.821279735683,8.999999998859359,1.9999999994803024
67,67,67,8742,7694,mainsupport,HyP,PAR,19.41787104,4.378539548,7307.229725,9425.879665,4.47372519,4.85446776,6303.471671,204.00000001961888,46.00000000195191,76768.1926083777,99026.27573763746,46.99999999834016,51.00000000490472
68,68,68,8717,7693,mainsupport,iDK,HZS,12.10268141,3.663263721,4230.2808479999985,5675.781028,3.106818599,2.272150916,12939.28136,260.9999999573859,78.99999996983257,91227.99020681897,122400.87943173674,66.99999997823669,48.99999999084289
69,69,69,8754,7695,maindps,ivy,TOR,21.22339326,5.318274188,11601.7499,32.32027218,5.1194602,7.455524562999999,12071.5852,426.99999995199295,106.99999996233804,233419.1873115691,650.2615321800996,102.99999997051506,149.99999995491208
70,70,70,5872,4405,flexsupport,IZaYaKI,VAL,15.03841284,4.674101288,8352.502206000001,10881.9532,5.486988468,3.962825005,11809.75691,295.9999999210379,91.99999997332984,164401.70107183128,214188.70332999437,107.9999999584222,77.99999997653256
71,71,71,4140,4525,flexdps,Jake,HOU,14.78019941,5.552782097000001,5321.516304,5755.137659,4.164586573,4.409562254,7347.668121,181.0000000448,67.99999999497739,65167.89283713756,70478.0691816681,50.999999999294566,54.000000002134506
72,72,72,4648,7697,maintank,Janus,WAS,7.148026803,6.841682797000001,5193.7931,0.0,3.471898733,2.450752047,5875.747414,70.00000000488323,67.00000000313507,50862.36062696008,0.0,34.000000003491046,24.00000000419243
73,73,73,8179,4409,mainsupport,Jecse,SEO,14.61064178,3.871195685,3786.651411,5565.0313369999985,2.934616084,2.122913763,9609.434145,234.00000000182595,61.99999999569277,60645.96227345971,89128.00357960463,47.00000000009298,34.000000001771056
74,74,74,8811,7692,flexdps,JinMu,CDH,16.24103052,6.58420156,7553.850420999999,5277.267004,5.047887863,5.816044712,10935.26669,296.0000000943823,119.99999999885674,137672.2814833396,96180.53680512884,92.00000000519864,106.00000001114041
75,75,75,8748,7696,offtank,JJANU,VAN,19.76377349,2.897914002,6766.023074,0.0,1.796706681,5.679911444,10352.27408,341.00000003919683,50.00000001495611,116739.54215608684,0.0,31.000000005131877,98.00000003069427
76,76,76,4653,4403,flexsupport,JJONAK,NYE,18.59509688,3.41093493,8687.211781,8413.023605,4.62126668,5.061387316,10906.10075,338.0000000488177,61.99999999712365,157906.01153362152,152922.13841376366,84.00000000783,92.00000000511346
77,77,77,4635,4405,maindps,KariV,VAL,18.52653429,4.691013489,10987.40698,34.83381244,4.92853316,5.522332335,10104.42628,311.9999999286619,78.99999996347682,185035.7397296124,586.6261497522116,82.99999997292574,92.99999995444627
78,78,78,3981,4402,mainsupport,Kellex,BOS,11.06877077,4.97767206,4681.084661999998,6150.518013,3.209288565,2.030366235,9160.908844,169.00000006516947,75.99999999497615,71471.64979938089,93907.22476745499,48.99999999676095,30.9999999979508
79,79,79,8691,7698,flexsupport,Kodak,ATL,15.07676376,5.072556031,7578.620778,9958.510804,5.072556031,4.227130026,4258.208261,106.99999998662904,35.99999999264929,53785.57600644309,70675.68828808426,35.99999999264929,29.99999999505724
80,80,80,8706,4407,mainsupport,Kris,FLA,13.79542929,4.291911335,3817.551789,5101.85658,2.63645982,2.023329629,9785.849875,224.9999999885297,70.00000000186806,62263.314495319464,83210.00429276821,42.999999999982535,32.999999995055745
